,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20
j0101,0,13,9,17,17,15,14,13,9,17,21,10,12,12,21,15,10,22,13,13
j0102,0,16,18,8,16,19,12,22,16,22,21,14,8,20,15,17,15,12,8,12
j0103,0,21,16,13,8,20,12,9,10,14,19,17,10,13,15,9,16,11,20,12
j0104,0,17,14,16,15,16,18,12,21,18,21,10,12,19,16,10,13,8,20,12
j0201,13,18,17,9,8,10,16,11,22,17,21,19,19,20,17,21,21,13,9,11
j0202,17,17,10,12,10,20,22,8,12,9,20,9,16,21,21,8,18,18,13,16
j0203,10,13,16,14,20,16,20,10,9,11,19,20,22,15,21,9,15,10,18,9
j0204,14,16,17,12,9,11,9,16,20,14,10,13,20,16,22,19,22,22,18,20
j0301,11,12,15,21,14,21,16,16,11,8,15,9,16,15,22,22,8,17,18,11
j0302,13,22,16,22,20,13,22,17,21,20,10,14,14,16,19,12,10,12,16,17
j0303,17,18,18,19,15,11,18,13,8,22,19,16,15,15,10,9,21,18,13,22
j0304,20,10,12,16,22,18,22,13,20,17,10,18,9,10,19,9,18,13,9,18
j0401,11,16,13,11,13,22,12,14,10,11,14,14,8,18,13,9,14,21,20,17
j0402,13,15,17,17,17,11,20,21,14,14,11,13,21,21,14,8,8,9,9,8
j0403,22,22,14,22,13,22,18,22,22,20,11,15,8,8,22,15,20,15,11,20
j0404,19,11,8,16,22,9,9,15,17,15,21,17,19,19,19,11,20,11,11,16
j0405,10,13,8,19,8,17,15,22,17,11,17,18,19,10,16,10,19,11,8,16
j0501,15,9,10,21,14,14,14,11,14,9,16,14,11,11,22,8,9,9,21,18
j0502,12,19,18,18,13,10,16,15,19,8,11,21,11,18,13,20,16,20,10,20
j0503,11,11,12,17,8,11,12,20,9,20,20,22,16,18,15,21,10,17,16,21
j0504,10,15,15,19,22,10,19,9,20,16,9,12,20,20,18,19,13,20,17,16
j0505,22,14,19,22,15,15,22,20,8,8,21,9,13,16,18,17,15,9,14,14
j0506,16,15,21,12,11,18,10,8,17,14,22,16,18,13,18,14,17,14,10,10
j0507,14,22,14,20,11,12,17,9,8,16,21,18,9,20,20,12,12,11,19,8
j0508,20,11,8,10,14,21,17,16,12,14,15,12,20,10,13,10,16,22,10,15
