,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10
j0101,0,2,3,6,9,1,7,3,7,1
j0102,0,2,10,7,4,3,6,7,3,8
j0103,0,6,8,10,4,3,3,6,2,1
j0104,0,2,5,6,1,2,1,2,7,1
j0105,0,5,6,10,5,1,9,8,4,2
j0106,0,4,7,6,4,4,6,9,1,7
j0107,0,5,3,7,1,8,4,2,5,10
j0108,0,9,9,4,9,2,6,8,2,5
j0201,8,5,10,3,9,3,7,9,10,7
j0202,7,6,7,3,8,4,10,10,6,10
j0203,3,5,10,7,3,5,5,4,7,4
j0204,10,5,9,5,5,8,4,3,10,8
j0205,8,7,1,8,7,6,6,9,8,2
j0206,9,5,5,7,2,5,8,8,3,7
j0207,9,1,3,3,5,6,10,2,8,8
j0208,5,7,8,6,5,2,5,7,4,5
j0209,2,10,3,8,1,6,1,3,4,4
j0301,7,6,5,8,4,8,4,1,6,4
j0401,4,8,9,8,7,1,1,1,7,6
j0402,1,2,7,5,1,6,9,5,8,3
j0403,8,9,3,10,6,10,4,9,6,5
j0404,8,7,4,6,9,5,4,6,5,4
j0405,9,8,6,8,5,5,6,3,3,3
j0406,10,10,8,8,2,6,7,9,3,4
j0501,8,2,3,5,8,8,4,5,8,7
j0502,2,4,8,10,6,5,10,7,6,8
j0503,6,9,5,6,9,5,4,3,9,8
j0504,6,10,9,5,3,3,8,1,10,3
j0505,8,8,2,4,5,1,7,7,6,9
j0506,4,4,1,5,2,7,8,1,1,5
j0507,7,7,4,3,7,9,3,8,10,7
j0508,7,5,8,2,2,2,2,1,1,8
