,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10
j0101,11,13,0,14,13,17,0,0,0,16
j0102,22,15,0,0,8,9,0,20,12,22
j0103,14,20,0,22,20,17,0,0,21,0
j0104,0,9,11,10,8,11,0,19,16,11
j0105,0,8,0,16,0,13,18,8,11,8
j0201,21,15,13,21,21,19,0,0,16,21
j0202,0,11,12,17,18,9,0,0,22,20
j0203,17,0,12,0,9,13,20,11,21,17
j0204,10,0,0,0,9,0,0,9,0,11
j0205,0,0,0,13,0,22,19,17,22,0
j0206,10,22,21,0,10,20,12,13,13,22
j0301,19,11,9,17,21,0,11,12,0,0
j0302,11,0,11,0,15,0,19,0,20,19
j0303,0,11,0,22,17,8,8,11,13,0
j0304,14,16,20,18,9,9,16,9,14,0
j0305,0,13,15,15,17,13,11,0,10,0
j0306,0,13,18,0,8,16,9,13,9,19
j0307,11,16,12,11,8,0,0,14,0,0
j0308,16,18,0,20,21,16,0,13,17,0
j0401,18,0,16,0,0,11,16,16,0,0
j0402,0,0,16,11,8,0,10,0,16,0
j0403,0,13,0,0,19,0,0,12,0,9
j0404,15,17,0,0,19,20,9,17,8,8
j0405,19,20,19,0,0,9,0,10,0,15
j0406,9,0,19,0,15,15,19,13,8,9
j0407,0,0,21,0,20,15,12,19,22,16
j0408,0,17,11,19,0,0,19,8,19,15
j0501,14,12,0,0,0,12,17,17,9,12
j0502,0,16,11,0,10,8,21,0,0,9
j0503,17,18,9,0,19,0,13,0,10,17
j0504,0,16,10,0,12,0,11,11,17,15
j0505,21,10,19,21,0,13,0,14,15,19
