,r_time,d_time
j1,0,110
j1,0,117
j1,0,118
j1,0,120
j1,0,112
j2,0,141
j2,0,138
j2,0,147
j2,0,153
j2,0,144
j3,0,180
j3,0,188
j3,0,185
j3,0,191
j3,0,173
j4,0,188
j4,0,188
j4,0,204
j4,0,206
j4,0,204
j5,0,114
j5,0,118
j5,0,117
j5,0,126
j5,0,125
j5,97,216
j3,99,287
j2,129,269
j1,137,258
j4,141,330
j3,199,380
j5,235,353
j2,240,385
j4,243,455
j1,269,388
j3,312,485
j5,352,467
j4,357,551
j1,377,489
j2,379,525
j3,434,621
j5,488,603
j1,490,605
j4,500,691
j2,502,650
j3,562,752
j1,586,706
j2,606,746
j4,612,812
j5,618,741
